16.85     1.09
17.51     0.89
18.09     0.63
18.12     0.28
17.58     0.22
16.93     0.46
16.27     0.71
15.63     0.88
15.01     0.96
14.38     1.0
13.75     1.0
13.1     1.0
12.45     0.99
11.79     0.97
11.14     0.95
10.49     0.92
9.85     0.89
9.21     0.85
8.57     0.8
7.93     0.73
7.29     0.66
6.64     0.58
6.0     0.5
5.35     0.42
4.71     0.34
4.07     0.26
3.43     0.18
2.8     0.11
2.15     0.04
1.51     -0.01
0.85     -0.02
0.21     0.09
0.06     0.53
0.48     1.08
0.99     1.48
1.55     1.79
2.15     2.03
2.76     2.23
3.39     2.39
4.02     2.51
4.66     2.59
5.31     2.63
5.95     2.64
6.6     2.62
7.24     2.57
7.89     2.5
8.53     2.42
9.17     2.33
9.81     2.24
10.45     2.14
11.09     2.05
11.73     1.96
12.37     1.87
13.01     1.79
13.64     1.7
14.28     1.61
14.92     1.51
15.56     1.39
16.2     1.25
16.85     1.09
